ID,comment,stars,label
吴保利爱你,手机有点毛病建议不要买。,1,1
没***豪,有发热，卡顿情况。,1,1
f***2,充电头都没有。,1,1
w***2,通信有杂音和刺耳的高音，等待退货中。,1,1
jd_135542whv,在没有收到货的时候快递员自己打了签收。,1,1
丁***征,还没有到一个月就降价200元。,1,1
HELL-LZJ,手机包装有破损。,1,1
倾城之泪光,收到的货有瑕疵，不给退换。,1,1
j***a,有时候打语音通话没反应。,1,1
由***奈,摄像头溢胶。品质是真的差,1,1
q***e,屏幕音效不好，什么垃圾平台。,1,1
帝***伊,收到货没几天就降价了，挺不爽的！！！,1,1
j***0,一起下单的手机壳，等了很久，未收到货。,1,1
jd139332bkw,质量问题，锁屏键失灵。,1,1
j***d,待机时间：短屏幕音效：差,1,1
jd180860hsx,手机容易发热不知道什么原因,1,1
j***h,手机经常自动关机重启,1,1
j***D,打着@闪退，好家伙,1,1
顽石丶不恭,待机时间：差运行速度：差,1,1
j***5,手机有质量问题售后检测不出来，买手机千万别来京东买，都是有问题的手机,1,1
王***5,手机未收到，居然收货了,1,1
高***8,分辨率一般 手机较清 打开,1,1
瑶***痕,没有收到货，为什么签收了！！！,1,1
j***e,包裹都挤压变形了，快递真给力,1,1
妞***呢,手机屏幕有刮花,1,1
暖男小康,不是我用的，白买了。,1,1
抽疯的稻草神,手机刚买就降价还不能申请退款,1,1
jd_537d78燕,刚买一个礼拜就降价,1,1
子***秦,服务态度非常恶劣,1,1
d***4,画质超级不清晰,1,1
j***0,买了没半个月又减价，心情真不好,1,1
jd_戴腾龙,天气预报不能用,1,1
j***i,声音有会有点沙,1,1
j***3,绿光屏待机时间：跑电快,1,1
mnzdmn,拆封的手机，如图,1,1
j***7,好家伙 刚买就降价300,1,1
bXqgtyrXDTpq,运行速度慢，玩游戏卡的要命,1,1
jd_4c376*****468,刚买的手机没有俩小时就没电了,1,1
jd_黎叔,手机不错，因为没有赠送手机卡的缘故，差评！,1,1
jd_187038rgr,刚买完，没两天就降价,1,1
媚***菲,正不正品！大家看看,1,1
Lau172,手机信号有点差说实话,1,1
j***e,换购活动10天保单并没有给我保,1,1
浅色谎言,刚买没多久就有优惠了。,1,1
j***a,买了刚半个月就掉价了，还没办法退差价,1,1
jd_177807qlf,刚买完第8天就开始搞活动降价200,1,1
风***9,购买之后还没到货想购买碎屏险都不行,1,1
j***r,刚买不到一个月就降价，还不退差价，辣鸡,1,1
B***栗,手机不耐电送的东西也没用,1,1
哈哈哈s888,屏幕音效：屏幕划痕！不给换货,1,1
A任文臣133*****517,不到一个月就掉价了好几百,1,1
浮v雲,什么呀刚买几天就降价,1,1
j***i,开关机键有问题,1,1
j***w,电池不好，跑电快,1,1
j***c,收到的手机是拆封的,1,1
S***L,坏机一台，拖字决！不再相信！,1,1
我***兴,苹果手机体验差,1,1
y***u,不怎么样，屏幕发黄,1,1
sd2366604685,买完还半月不到就开始做活动降价了,1,1
j***k,不知道你们收到货是不是也都这么脏,1,1
j***a,连个充电器都没有,1,1
a***8,充电头不发货吗,1,1
久***笑,毛病一堆还不能退,1,1
jd186551opo,还没用几天，右键就坏了,1,1
jd_188134bxx,用不到一个月就返厂维修,1,1
j***e,产品有问题死活不给解决！,1,1
S***8,我的测试了绿屏怎么办,1,1
z***8,比美国版贵好几百，不划算。,1,1
哦***哦,不好用 屏幕一点不灵敏,1,1
j***d,商品有差价，捆绑销售还卖得更贵。,1,1
j***9,我的发票什么时候给我寄过来？,1,1
喵喵喵_123,有售后服务？屁话都不回我一个。,1,1
z***0,旧手机10天了还没发出去,1,1
jd_185503uzj,拆封不退。这辈子永远不用京东。。,1,1
zheng970303,希望大家不要买、这个屏幕有缝隙,1,1
j***z,才买十几天现在就出现黑屏自动重启,1,1
棒棒龍,刚收到，就有优惠，并且还没得补优惠价,1,1
zhouting96-,一般般。啥也不送。,1,1
jd_132838sxfw,没有充电头也不提前说到了才知道,1,1
j***9,刚买没多久就降价了,1,1
j***k,充电器只有线没有头,1,1
v***i,这一版手机，黑屏。,1,1
2***t,为什么我买的双卡手机给我的是单卡,1,1
jd_12-22,这代iPhone向小米看齐了，为发烧而生！,1,1
jd_137086civ,降价了 赶脚亏了,1,1
j***a,感觉买了个山寨版的,1,1
G***n,充电器没有插头,1,1
刘阿懒阿懒,没想过京东服务可以这么差现在,1,1
j***9,不舒服竟然木有充电头！,1,1
j***e,体验贼差 买了后悔,1,1
jd河边古,在单位，别人安卓手机都有信号，就苹果没信号。,1,1
_-_-_-_-__-_-_,客服已读消息不回,1,1
jd_181733lii,售后服务没服务,1,1
jd_139723jjx,信号和网络奇差！,1,1
一股澎湃劲,哎刚买回来用了一两天线都开裂,1,1
樱落之速,买完不到半个月降价三百没有任何补偿！,1,1
奥利南瓜,不到一个月手机无线充坏了,1,1
jd_177497ofv,现在充电器都要另配，我也是醉了,1,1
b***W,图上有的东西都没带，差劲,1,1
